item_id;name;description;lang
6;Pain hamburger supérieur (grillé);Notre pain croustillant et fumé est fabriqué à partir d'un mélange de farine, de levure et d'eau. Il est saupoudré d'un peu de sel pour plus de saveur.;fr
7;Beef patty;Our classic beef patty is made with 100% fresh beef, cooked to perfection. This juicy patty is the perfect comfort food that will satisfy your cravings. With no added preservatives or artificial flavors, the beef patty is simply delicious!;en
7;Rundvleespasteitje;Ons klassieke rundvleespasteitje is gemaakt van 100% vers rundvlees, gebakken tot in de perfectie. Deze sappige patty is het perfecte comfort food dat je trek zal stillen. Zonder toegevoegde conserveringsmiddelen of kunstmatige smaakstoffen is de beef patty gewoonweg heerlijk!;nl
7;Galette de bœuf;Notre galette de bœuf classique est composée à 100 % de bœuf frais, cuit à la perfection. Cette galette juteuse est le parfait aliment réconfortant qui comblera vos envies. Sans conservateurs ni arômes artificiels ajoutés, la galette de bœuf est tout simplement délicieuse !;fr
8;Chicken patty;Our chicken patty is made with 100% fresh chicken breast, breaded and fried to perfection. This crispy patty is the perfect complement to our signature sauces and is sure to satisfy your cravings. With no added preservatives or artificial flavors, this chicken patty is simply delicious;en
8;Kippenpasteitje;Ons kippenpasteitje is gemaakt van 100% verse kipfilet, gepaneerd en gefrituurd tot in de perfectie. Dit knapperige pasteitje is de perfecte aanvulling op onze kenmerkende sauzen en zal je trek zeker stillen. Zonder toegevoegde conserveringsmiddelen of kunstmatige smaakstoffen is dit kippenpasteitje gewoonweg heerlijk.;nl
8;Galette de poulet;Notre galette de poulet est composée à 100 % de blanc de poulet frais, pané et frit à la perfection. Cette galette croustillante est le complément parfait de nos sauces de signature et ne manquera pas de satisfaire vos envies. Sans conservateurs ni arômes artificiels ajoutés, cette galette de poulet est tout simplement délicieuse.;fr
9;Turkey patty;Our turkey patty is made with 100% fresh turkey breast, breaded and fried to perfection. This juicy patty is the perfect addition to our signature sauces and is sure to satisfy your cravings. With no added preservatives or artificial flavors, this turkey patty is simply delicious;en
9;Kalkoenpastei;Onze kalkoenpastei is gemaakt van 100% verse kalkoenfilet, gepaneerd en gebakken tot in de perfectie. Deze sappige patty is de perfecte aanvulling op onze kenmerkende sauzen en zal je trek zeker stillen. Zonder toegevoegde conserveringsmiddelen of kunstmatige smaakstoffen is deze kalkoenpastei gewoonweg heerlijk.;nl
9;Galette de dinde;Notre galette de dinde est composée à 100 % de poitrine de dinde fraîche, panée et frite à la perfection. Cette galette juteuse est le complément parfait de nos sauces de signature et ne manquera pas de satisfaire vos envies. Sans conservateurs ni arômes artificiels ajoutés, cette galette de dinde est tout simplement délicieuse.;fr
10;Vegetarian patty;Our vegetarian patty is made with a plant-based protein source and is cooked to perfection. This crispy patty is the perfect complement to our signature sauces and is sure to satisfy your cravings. With no added preservatives or artificial flavors, this vegetarian patty is simply delicious;en
10;Vegetarische patty;Onze vegetarische patty is gemaakt met een plantaardige eiwitbron en is perfect gebakken. Deze knapperige patty is de perfecte aanvulling op onze kenmerkende sauzen en zal je trek zeker stillen. Zonder toegevoegde conserveringsmiddelen of kunstmatige smaakstoffen is deze vegetarische patty gewoonweg heerlijk.;nl
10;Galette végétarienne;Notre galette végétarienne est fabriquée à partir d'une source de protéines d'origine végétale et est cuite à la perfection. Cette galette croustillante est le complément parfait de nos sauces de signature et ne manquera pas de satisfaire vos envies. Sans conservateurs ni arômes artificiels ajoutés, cette galette végétarienne est tout simplement délicieuse.;fr
11;Cheddar slice;Cheddar cheese adds a rich, tangy flavor and a satisfying crumb to the burger. It melts well when grilled or cooked, creating a gooey, cheesy texture that pairs perfectly with the other ingredients. The sharpness of the cheddar helps balance out the sweetness of many patties (such as beef) and the savory flavors of the condiments and toppings;en
11;Cheddar plak;Cheddar kaas voegt een rijke, pittige smaak en een bevredigend kruim toe aan de burger. Het smelt goed wanneer het gegrild of gekookt wordt, waardoor een kleverige, kaasachtige textuur ontstaat die perfect samengaat met de andere ingrediënten. De scherpte van de cheddar helpt de zoetheid van veel pasteitjes (zoals rundvlees) en de hartige smaken van de kruiden en toppings uit te balanceren.;nl
11;Tranche de cheddar;Le cheddar ajoute une saveur riche et piquante et une mie satisfaisante au hamburger. Il fond bien lorsqu'il est grillé ou cuit, créant une texture gluante et fromagère qui se marie parfaitement avec les autres ingrédients. Le piquant du cheddar permet d'équilibrer le goût sucré de nombreuses galettes (comme le bœuf) et les saveurs des condiments et des garnitures;fr
12;Swiss cheese;Swiss cheese is a type of cheese that originates from Switzerland and is known for its distinctive yellow color and firm, crumbly texture. It is made from cow's milk and has a mild, nutty flavor.;en
12;Zwitserse kaas;Zwitserse kaas is een kaassoort die oorspronkelijk uit Zwitserland komt en bekend staat om zijn kenmerkende gele kleur en stevige, kruimelige textuur. Hij wordt gemaakt van koemelk en heeft een milde, nootachtige smaak.;nl
12;Fromage suisse;Le fromage suisse est un type de fromage originaire de Suisse, connu pour sa couleur jaune caractéristique et sa texture ferme et friable. Il est fabriqué à partir de lait de vache et a un goût doux de noisette.;fr
13;Mozzarella;A type of cheese that originates from Italy and is known for its creamy texture and mild, tangy flavor. It is made from cow's milk and has a high water content.;en
13;Mozzarella;Een kaassoort die oorspronkelijk uit Italië komt en bekend staat om zijn romige textuur en milde, pittige smaak. Mozzarella wordt gemaakt van koemelk en heeft een hoog watergehalte.;nl
13;Mozzarella;Un type de fromage originaire d'Italie, connu pour sa texture crémeuse et sa saveur douce et piquante. Elle est fabriquée à partir de lait de vache et a une forte teneur en eau.;fr
14;Cucumber slice;A thin piece of fresh cucumber that has been sliced into rounds and strips. It is a popular ingredient in many dishes, including salads, sandwiches, and pickles. Cucumbers are low in calories and high in water content, making them a refreshing and hydrating addition on your burger.;en
14;Komkommerschijfje;Een fijn stuk verse komkommer dat in rondjes en reepjes is gesneden. Het is een populair ingrediënt in veel gerechten, waaronder salades, sandwiches en augurken. Komkommers bevatten weinig calorieën en veel water, waardoor ze een verfrissende en hydraterende toevoeging aan je hamburger zijn.;nl
14;Tranches de concombre;Un mince morceau de concombre frais qui a été tranché en rondelles et en bandes. C'est un ingrédient populaire dans de nombreux plats, notamment les salades, les sandwichs et les cornichons. Les concombres sont pauvres en calories et riches en eau, ce qui en fait un ajout rafraîchissant et hydratant à votre hamburger.;fr
15;Ketchup;A condiment made from tomatoes, vinegar, sugar, and spices. It has a sweet and tangy flavor.;en
15;Ketchup;Een specerij gemaakt van tomaten, azijn, suiker en kruiden. Het heeft een zoete en pittige smaak.;nl
15;Ketchup;Une épice à base de tomates, de vinaigre, de sucre et d'herbes. Elle a une saveur douce et épicée.;fr
16;Mayonnaise;A versatile condiment that can add moisture and creaminess to burgers, as well as balance flavors and textures. It is made from egg yolks, oil, vinegar or lemon juice, and seasonings such as salt, pepper, and herbs like tarragon or dill. Mayonnaise is a classic condiment that has been used in many different dishes throughout history and can add luxury and sophistication to any menu.;en
16;Mayonaise;Een veelzijdige smaakmaker die vocht en romigheid aan hamburgers kan toevoegen en smaken en texturen in balans kan brengen. Het wordt gemaakt van eidooiers, olie, azijn of citroensap en kruiden zoals zout, peper en kruiden zoals dragon of dille. Mayonaise is een klassieke specerij die door de geschiedenis heen in veel verschillende gerechten is gebruikt en luxe en verfijning kan toevoegen aan elk menu.;nl
16;Mayonnaise;Un condiment polyvalent qui peut ajouter de l'humidité et de l'onctuosité aux hamburgers, ainsi qu'équilibrer les saveurs et les textures. Elle est composée de jaunes d'œufs, d'huile, de vinaigre ou de jus de citron et d'assaisonnements tels que le sel, le poivre et des herbes comme l'estragon ou l'aneth. La mayonnaise est un condiment classique qui a été utilisé dans de nombreux plats au cours de l'histoire et qui peut ajouter luxe et sophistication à n'importe quel menu.;fr
17;Mustard;A versatile condiment made from ground mustard seeds, vinegar or lemon juice, and spices such as garlic and salt. It adds depth and complexity to the flavor profile of burgers and helps balance out ingredients.;en
17;Mosterd;Een veelzijdige smaakmaker op basis van gemalen mosterdzaadjes, azijn of citroensap en kruiden zoals knoflook en zout. Het voegt diepte en complexiteit toe aan het smaakprofiel van hamburgers en helpt ingrediënten in balans te brengen.;nl
17;Moutarde;Un condiment polyvalent composé de graines de moutarde moulues, de vinaigre ou de jus de citron et d'épices telles que l'ail et le sel. Il ajoute de la profondeur et de la complexité au profil de saveur des hamburgers et aide à équilibrer les ingrédients.;fr
18;Aioli;A creamy, rich condiment made from garlic, lemon juice, oil, and vinegar. It adds a tangy, creamy flavor to burgers and can help balance out the richness of a patty. Aioli is often used as a dipping sauce or spread on sandwiches and salads, but it also makes a great addition to burgers for an extra layer of flavor and texture;en
18;Aioli;Een romige, rijke smaakmaker op basis van knoflook, citroensap, olie en azijn. Het voegt een pittige, romige smaak toe aan hamburgers en kan de rijkdom van een pasteitje helpen uitbalanceren. Aioli wordt vaak gebruikt als dipsaus of spread op sandwiches en salades, maar het is ook een geweldige toevoeging aan hamburgers voor een extra laagje smaak en textuur.;nl
18;Aioli;Condiment crémeux et riche à base d'ail, de jus de citron, d'huile et de vinaigre. Il ajoute une saveur piquante et crémeuse aux hamburgers et peut aider à équilibrer la richesse d'une galette. L'aïoli est souvent utilisé comme sauce à tremper ou à tartiner sur les sandwichs et les salades, mais il peut également être ajouté aux hamburgers pour ajouter une couche supplémentaire de saveur et de texture.;fr
19;Paprika;A spice made from ground, dried, or finely chopped peppers. It adds a smoky, slightly sweet flavor to burgers and can help balance out the richness of a patty. Paprika is often used in Hungarian cuisine, where it is a key ingredient in many traditional dishes. It can also be used as a seasoning for meats, cheeses, and vegetables, adding depth and complexity to a variety of flavors.;en
19;Paprika;Een specerij gemaakt van gemalen, gedroogde of fijngehakte paprika. Het voegt een rokerige, licht zoete smaak toe aan hamburgers en kan helpen om de rijkdom van een pasteitje in balans te brengen. Paprika wordt vaak gebruikt in de Hongaarse keuken, waar het een belangrijk ingrediënt is in veel traditionele gerechten. Paprika kan ook worden gebruikt als smaakmaker voor vlees, kaas en groenten, en voegt diepte en complexiteit toe aan verschillende smaken.;nl
19;Paprika;Une épice composée de poivrons moulus, séchés ou finement hachés. Il ajoute une saveur fumée et légèrement sucrée aux hamburgers et peut aider à équilibrer la richesse d'une galette. Le paprika est souvent utilisé dans la cuisine hongroise, où il est un ingrédient clé dans de nombreux plats traditionnels. Il peut également être utilisé comme assaisonnement pour les viandes, les fromages et les légumes, ajoutant de la profondeur et de la complexité à une variété de saveurs.;fr
20;BBQ sauce;A type of condiment made from a mixture of ketchup, vinegar, sugar, and spices that is often served with grilled meats. It adds flavor and moisture to the meat, making it perfect for burgers. Some people also like to put BBQ sauce on their burgers because it gives them a sweet and tangy taste that complements the savory flavors of the burger.;en
20;BBQ-saus;Een soort specerij gemaakt van een mengsel van ketchup, azijn, suiker en kruiden dat vaak geserveerd wordt bij gegrild vlees. Het voegt smaak en vocht toe aan het vlees, waardoor het perfect is voor hamburgers. Sommige mensen doen ook graag BBQ-saus op hun burgers omdat het een zoete en pittige smaak geeft die de hartige smaken van de burger aanvult.;nl
20;Sauce barbecue;Un type de condiment composé d'un mélange de ketchup, de vinaigre, de sucre et d'épices qui est souvent servi avec des viandes grillées. Il ajoute de la saveur et de l'humidité à la viande, ce qui le rend parfait pour les hamburgers. Certaines personnes aiment également mettre de la sauce barbecue sur leurs hamburgers car elle leur donne un goût sucré et acidulé qui complète les saveurs salées du hamburger.;fr
21;Lettuce;Also known as leafy greens. It is a type of vegetable that is commonly used in salads and sandwiches. It is a cool-season crop, which means that it grows best in temperate climates with cool weather. Lettuce is a low-calorie, nutrient-rich food that is rich in vitamins A, C, and K, as well as minerals like potassium and iron. It has a mild flavor and a crisp texture, making it a popular choice for adding to burgers.;en
21;Sla;Ook bekend als bladgroenten. Het is een groentesoort die vaak wordt gebruikt in salades en sandwiches. Het is een koel seizoen gewas, wat betekent dat het het beste groeit in gematigde klimaten met koel weer. Sla is een caloriearm, voedselrijk voedsel dat rijk is aan vitamine A, C en K en mineralen zoals kalium en ijzer. Het heeft een milde smaak en een knapperige textuur, waardoor het een populaire keuze is om toe te voegen aan hamburgers.;nl
21;Laitue;Également connu sous le nom de légumes verts feuillus. Il s'agit d'un type de légume couramment utilisé dans les salades et les sandwichs. Il s'agit d'une culture de saison fraîche, ce qui signifie qu'elle pousse mieux dans les climats tempérés avec un temps frais. La laitue est un aliment pauvre en calories et riche en nutriments, en vitamines A, C et K, ainsi qu'en minéraux comme le potassium et le fer. Elle a une saveur douce et une texture croquante, ce qui en fait un choix populaire pour les hamburgers.;fr
22;Tomato;Tomatoes are a delicious addition to any burger, whether you prefer a juicy slice of fresh tomato or a crunchy, caramelized patty. The sweetnessof the tomato pairs perfectly with the savory flavor of the burger meat, creating a balanced and satisfying taste experience. Additionally, the tomatoes add moisture to the burger, making it feel more substantial and filling. And let's not forget about the nutritional benefits of tomatoes: they are packed with vitamins C and A, as well as fiber and antioxidants that can help support heart health and overall well-being. So why not giveyour burger a delicious makeover by adding some juicy tomato slices?;en
22;Tomaat;Tomaten zijn een heerlijke toevoeging aan elke hamburger, of je nu de voorkeur geeft aan een sappig schijfje verse tomaat of aan een knapperige, gekarameliseerde patty. De zoete smaak van de tomaat gaat perfect samen met de hartige smaak van het hamburgervlees, wat zorgt voor een evenwichtige en bevredigende smaakervaring. Bovendien voegen de tomaten vocht toe aan de burger, waardoor hij steviger en vullender aanvoelt. En laten we de voedingsvoordelen van tomaten niet vergeten: ze zitten boordevol vitamine C en A, maar ook vezels en antioxidanten die kunnen bijdragen aan een gezond hart en algeheel welzijn. Dus waarom geef je je hamburger geen heerlijke make-over door er wat sappige plakjes tomaat aan toe te voegen?;nl
22;Tomate;Les tomates sont un ajout délicieux à tout hamburger, que vous préfériez une tranche juteuse de tomate fraîche ou une galette croquante et caramélisée. La douceur de la tomate s'associe parfaitement à la saveur de la viande du hamburger, créant ainsi une expérience gustative équilibrée et satisfaisante. En outre, les tomates apportent de l'humidité au hamburger, ce qui le rend plus substantiel et rassasiant. Et n'oublions pas les bienfaits nutritionnels des tomates : elles regorgent de vitamines C et A, ainsi que de fibres et d'antioxydants qui peuvent contribuer à la santé cardiaque et au bien-être général. Alors pourquoi ne pas donner à votre hamburger une nouvelle allure en y ajoutant des tranches de tomates juteuses ?;fr
